"Date","Price","Open","High","Low","Vol.","Change %"
"04/11/2022","1.1968","1.1918","1.1989","1.1900","141.19K","-0.08%"
"04/08/2022","1.1977","1.2019","1.2040","1.1956","143.99K","-0.32%"
"04/07/2022","1.2016","1.1996","1.2030","1.1953","149.70K","0.21%"
"04/06/2022","1.1991","1.1997","1.2013","1.1969","155.93K","0.08%"
"04/05/2022","1.1981","1.1952","1.2010","1.1940","134.26K","0.27%"
"04/04/2022","1.1949","1.1862","1.1961","1.1857","167.12K","0.76%"
"04/01/2022","1.1859","1.1871","1.1896","1.1844","240.49K","-0.06%"
"03/31/2022","1.1866","1.1770","1.1880","1.1745","177.77K","0.86%"
"03/30/2022","1.1765","1.1808","1.1836","1.1766","187.70K","-0.33%"
"03/29/2022","1.1804","1.1918","1.1928","1.1788","204.81K","-0.92%"
"03/28/2022","1.1914","1.2009","1.2019","1.1903","152.83K","-0.70%"
"03/25/2022","1.1998","1.1991","1.2016","1.1945","149.64K","0.10%"
"03/24/2022","1.1986","1.2000","1.2026","1.1973","145.15K","-0.08%"
"03/23/2022","1.1996","1.2024","1.2056","1.1991","156.23K","-0.19%"
"03/22/2022","1.2019","1.1952","1.2039","1.1940","174.14K","0.59%"
"03/21/2022","1.1949","1.1922","1.1965","1.1880","146.03K","0.22%"
"03/18/2022","1.1923","1.1855","1.1939","1.1849","147.90K","0.61%"
"03/17/2022","1.1851","1.1915","1.1956","1.1820","192.47K","-0.52%"
"03/16/2022","1.1913","1.1907","1.1940","1.1861","206.85K","0.10%"
"03/15/2022","1.1901","1.1885","1.1931","1.1824","204.43K","0.16%"
"03/14/2022","1.1882","1.1949","1.1964","1.1861","167.72K","-0.53%"
"03/11/2022","1.1945","1.1914","1.1963","1.1874","216.57K","0.31%"
"03/10/2022","1.1908","1.1902","1.1954","1.1853","214.91K","0.09%"
"03/09/2022","1.1897","1.2020","1.2027","1.1877","231.48K","-1.01%"
"03/08/2022","1.2018","1.2073","1.2082","1.1976","235.51K","-0.42%"
"03/07/2022","1.2069","1.2105","1.2194","1.2039","238.04K","-0.27%"
"03/04/2022","1.2102","1.2062","1.2153","1.2055","209.45K","0.36%"
"03/03/2022","1.2058","1.2054","1.2088","1.2046","195.28K","0.07%"
"03/02/2022","1.2050","1.1974","1.2060","1.1959","186.85K","0.65%"
"03/01/2022","1.1972","1.1964","1.2026","1.1947","211.96K","0.13%"
"02/28/2022","1.1957","1.1897","1.1990","1.1866","205.16K","0.54%"
"02/25/2022","1.1893","1.1952","1.1984","1.1891","187.03K","-0.45%"
"02/24/2022","1.1947","1.1974","1.2042","1.1933","248.45K","-0.19%"
"02/23/2022","1.1970","1.1993","1.2014","1.1968","162.08K","-0.17%"
"02/22/2022","1.1990","1.2023","1.2036","1.1928","194.49K","-0.26%"
"02/21/2022","1.2021","1.2012","1.2033","1.1970","128.53K","0.17%"
"02/18/2022","1.2000","1.1983","1.2011","1.1965","165.30K","0.15%"
"02/17/2022","1.1982","1.1944","1.2001","1.1933","193.22K","0.34%"
"02/16/2022","1.1941","1.1917","1.1958","1.1900","174.58K","0.24%"
"02/15/2022","1.1913","1.1964","1.1977","1.1903","171.92K","-0.39%"
"02/14/2022","1.1960","1.1948","1.1988","1.1921","182.90K","0.13%"
"02/11/2022","1.1944","1.1861","1.1964","1.1859","199.21K","0.70%"
"02/10/2022","1.1861","1.1847","1.1892","1.1838","191.48K","0.15%"
"02/09/2022","1.1843","1.1862","1.1889","1.1831","154.02K","-0.15%"
"02/08/2022","1.1861","1.1831","1.1889","1.1820","211.56K","0.29%"
"02/07/2022","1.1827","1.1818","1.1853","1.1793","179.11K","0.09%"
"02/04/2022","1.1816","1.1888","1.1898","1.1804","197.10K","-0.56%"
"02/03/2022","1.1883","1.2011","1.2073","1.1879","168.85K","-1.06%"
"02/02/2022","1.2010","1.1992","1.2015","1.1973","123.29K","0.14%"
"02/01/2022","1.1993","1.1971","1.2024","1.1959","133.78K","0.23%"
"01/31/2022","1.1965","1.2023","1.2043","1.1962","138.32K","-0.50%"
"01/28/2022","1.2025","1.2006","1.2043","1.1997","159.42K","0.14%"
"01/27/2022","1.2008","1.1979","1.2021","1.1962","167.75K","0.28%"
"01/26/2022","1.1975","1.1944","1.1990","1.1940","158.03K","0.26%"
"01/25/2022","1.1944","1.1910","1.1967","1.1900","191.30K","0.33%"
"01/24/2022","1.1905","1.1952","1.1978","1.1870","210.10K","-0.36%"
"01/21/2022","1.1948","1.2021","1.2027","1.1935","161.76K","-0.57%"
"01/20/2022","1.2016","1.1998","1.2043","1.1990","170.51K","0.18%"
"01/19/2022","1.1994","1.2003","1.2033","1.1984","205.62K","-0.04%"
"01/18/2022","1.1999","1.1961","1.2011","1.1933","233.28K","0.34%"
"01/17/2022","1.1958","1.1979","1.1990","1.1956","151.96K","-0.14%"
"01/14/2022","1.1975","1.1963","1.1990","1.1956","156.50K","0.11%"
"01/13/2022","1.1962","1.1975","1.1997","1.1959","147.19K","-0.07%"
"01/12/2022","1.1970","1.1993","1.2011","1.1966","133.85K","-0.19%"
"01/11/2022","1.1993","1.1987","1.2015","1.1975","129.77K","0.07%"
"01/10/2022","1.1985","1.1961","1.2004","1.1951","125.77K","0.25%"
"01/07/2022","1.1955","1.1982","1.1996","1.1952","106.10K","-0.18%"
"01/06/2022","1.1977","1.1982","1.1990","1.1941","159.35K","0.00%"
"01/05/2022","1.1977","1.1987","1.1999","1.1942","104.07K","-0.05%"
"01/04/2022","1.1983","1.1925","1.1998","1.1910","108.84K","0.50%"
"01/03/2022","1.1923","1.1901","1.1946","1.1875","79.86K","0.22%"
"12/31/2021","1.1897","1.1918","1.1952","1.1880","89.63K","-0.14%"
"12/30/2021","1.1914","1.1885","1.1936","1.1878","90.88K","0.28%"
"12/29/2021","1.1881","1.1879","1.1903","1.1868","100.31K","0.05%"
"12/28/2021","1.1875","1.1863","1.1904","1.1855","100.12K","0.11%"
"12/27/2021","1.1862","1.1827","1.1873","1.1826","78.54K","0.33%"
"12/24/2021","1.1823","1.1836","1.1863","1.1810","138.36K","-0.09%"
"12/23/2021","1.1834","1.1789","1.1884","1.1766","131.69K","0.43%"
"12/22/2021","1.1783","1.1764","1.1795","1.1741","133.01K","0.26%"
"12/21/2021","1.1752","1.1711","1.1766","1.1695","166.01K","0.37%"
"12/20/2021","1.1709","1.1784","1.1788","1.1694","171.55K","-0.56%"
"12/17/2021","1.1775","1.1759","1.1784","1.1725","161.52K","0.19%"
"12/16/2021","1.1753","1.1753","1.1832","1.1724","160.11K","0.03%"
"12/15/2021","1.1749","1.1760","1.1786","1.1724","204.16K","-0.06%"
"12/14/2021","1.1756","1.1714","1.1760","1.1689","252.53K","0.39%"
"12/13/2021","1.1710","1.1728","1.1766","1.1694","172.85K","-0.14%"
"12/10/2021","1.1727","1.1706","1.1733","1.1689","189.67K","0.20%"
"12/09/2021","1.1704","1.1642","1.1712","1.1633","197.72K","0.51%"
"12/08/2021","1.1645","1.1755","1.1759","1.1626","284.56K","-0.90%"
